"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14990","should show error message on singin up with invalid email | TC-MA-2","","Fri May 02 16:52:29 UTC 2025","passed","Fri May 02 16:52:43 UTC 2025","","Login","",""
"","13739","should show error message on singin up with different passwords | TC-MA-3","","Fri May 02 16:52:43 UTC 2025","passed","Fri May 02 16:52:57 UTC 2025","","Login","",""
"","13646","should show success message on login with valid data | TC-MA-5","","Fri May 02 16:53:13 UTC 2025","passed","Fri May 02 16:53:27 UTC 2025","","Login","",""
"","16253","should show success message on singin up with valid data | TC-MA-4","","Fri May 02 16:52:57 UTC 2025","passed","Fri May 02 16:53:13 UTC 2025","","Login","",""
"","12568","should show error message on login with invalid data | TC-MA-1","","Fri May 02 16:52:16 UTC 2025","passed","Fri May 02 16:52:29 UTC 2025","","Login","",""
